sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Bouquets ""Company""",,Default,grouped,"Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquets ""Company""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nullam euismod lectus molestie vehicula dictum. Donec iaculis interdum nisi, eu rhoncus diam vehicula sed. Cras efficitur fringilla tortor, at sollicitudin ipsum rhoncus eget. Vivamus varius, dolor eget finibus euismod, odio ante tristique eros, sed auctor mauris quam non mauris. Nam dapibus, mi mollis fringilla sodales, justo sapien tempor dolor, vel condimentum lacus ex vel nibh. Donec a lectus nulla. Phasellus eget tellus in diam sollicitudin pellentesque et eu odio. Morbi tincidunt faucibus velit quis finibus. Cras laoreet porta aliquet. Vestibulum tincidunt ut metus in porttitor.</p>
<p>Donec dictum ipsum quis enim imperdiet fermentum maximus eu libero. Integer aliquet odio in leo tincidunt ullamcorper. Donec a commodo orci, eget iaculis libero. Sed bibendum faucibus felis, at vestibulum nisi blandit id. Integer semper felis ut enim dignissim, eu accumsan augue sodales. Maecenas ac consequat nulla, ut vulputate ante. Suspendisse potenti. Integer vitae nulla nisl. Pellentesque quis sapien felis. Duis augue arcu, pellentesque vel consequat a, posuere eget diam. Duis sollicitudin lacinia sem, in bibendum nisl pharetra tincidunt.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum.</p>",,1,,"Catalog, Search",,,,,bouquet-company,"Bouquet ""Company""","Bouquet ""Company""","Bouquet ""Company"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nullam euismo",/3/b/3bouquet.jpeg,,/3/b/3bouquet.jpeg,,/3/b/3bouquet.jpeg,,,,"7/19/21, 11:18 AM","7/20/21, 4:00 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/3/b/3bouquet.jpeg,,,,,,,,,,"Bouquet ""Discovery""=0.000000,Bouquet 9=0.000000,Bouquet 10=0.000000",,,,
"Chamomile flower",,Default,simple,,base,"Chamomile flower",,,,1,"Taxable Goods","Not Visible Individually",20.000000,,,,chamomile-flower,"Chamomile flower","Chamomile flower","Chamomile flower ",/d/a/daisy.jpeg,,/d/a/daisy.jpeg,,/d/a/daisy.jpeg,,/d/a/daisy.jpeg,,"7/19/21, 11:23 AM","7/19/21, 11:23 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/a/daisy.jpeg,,,,,,,,,,,,,,
"Rose flower",,Default,simple,,base,"Rose flower",,,,1,0,"Not Visible Individually",35.000000,,,,rose-flower,"Rose flower","Rose flower","Rose flower ",/r/o/rose.jpeg,,/r/o/rose.jpeg,,/r/o/rose.jpeg,,/r/o/rose.jpeg,,"7/19/21, 11:25 AM","7/19/21, 11:25 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/o/rose.jpeg,,,,,,,,,,,,,,
"Tulip flower",,Default,simple,,base,"Tulip flower",,,,1,0,"Not Visible Individually",25.000000,,,,tulip-flower,"Tulip flower","Tulip flower","Tulip flower ",/t/u/tulip.jpeg,,/t/u/tulip.jpeg,,/t/u/tulip.jpeg,,/t/u/tulip.jpeg,,"7/19/21, 11:27 AM","7/19/21, 11:27 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/u/tulip.jpeg,,,,,,,,,,,,,,
"Make a bouquet",,Default,bundle,"Default Category/Flowers in a box,Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets,Default Category/Floristics",base,"Make a bouquet","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nullam euismod lectus molestie vehicula dictum. Donec iaculis interdum nisi, eu rhoncus diam vehicula sed. Cras efficitur fringilla tortor, at sollicitudin ipsum rhoncus eget. Vivamus varius, dolor eget finibus euismod, odio ante tristique eros, sed auctor mauris quam non mauris. Nam dapibus, mi mollis fringilla sodales, justo sapien tempor dolor, vel condimentum lacus ex vel nibh. Donec a lectus nulla. Phasellus eget tellus in diam sollicitudin pellentesque et eu odio. Morbi tincidunt faucibus velit quis finibus. Cras laoreet porta aliquet. Vestibulum tincidunt ut metus in porttitor.</p>
<p>Donec dictum ipsum quis enim imperdiet fermentum maximus eu libero. Integer aliquet odio in leo tincidunt ullamcorper. Donec a commodo orci, eget iaculis libero. Sed bibendum faucibus felis, at vestibulum nisi blandit id. Integer semper felis ut enim dignissim, eu accumsan augue sodales. Maecenas ac consequat nulla, ut vulputate ante. Suspendisse potenti. Integer vitae nulla nisl. Pellentesque quis sapien felis. Duis augue arcu, pellentesque vel consequat a, posuere eget diam. Duis sollicitudin lacinia sem, in bibendum nisl pharetra tincidunt.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum.</p>",,1,"Taxable Goods","Catalog, Search",,,,,make-a-bouquet,"Make a bouquet","Make a bouquet","Make a bouquet Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nullam euismod l",/m/a/make.jpeg,,/m/a/make.jpeg,,/m/a/make.jpeg,,,,"7/19/21, 11:32 AM","7/19/21, 11:38 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/m/a/make.jpeg,,,,dynamic,dynamic,"Price range",dynamic,"name=Composition base,type=select,required=1,sku=Chamomile flower,price=0.0000,default=0,default_qty=9.0000,price_type=fixed,can_change_qty=1|name=Composition base,type=select,required=1,sku=Rose flower,price=0.0000,default=0,default_qty=9.0000,price_type=fixed,can_change_qty=1|name=Composition base,type=select,required=1,sku=Tulip flower,price=0.0000,default=0,default_qty=9.0000,price_type=fixed,can_change_qty=1|name=Secondary flower,type=select,required=0,sku=Chamomile flower,price=0.0000,default=0,default_qty=5.0000,price_type=fixed,can_change_qty=1|name=Secondary flower,type=select,required=0,sku=Rose flower,price=0.0000,default=0,default_qty=5.0000,price_type=fixed,can_change_qty=1|name=Secondary flower,type=select,required=0,sku=Tulip flower,price=0.0000,default=0,default_qty=5.0000,price_type=fixed,can_change_qty=1|name=Add green foliage to composition,type=checkbox,required=0,sku=Green foliage,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0|name=Add wildflowers to composition,type=checkbox,required=0,sku=Wildflowers,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0",together,,,,,
"Green foliage",,Default,simple,,base,"Green foliage",,,,1,"Taxable Goods","Not Visible Individually",20.000000,,,,green-foliage,"Green foliage","Green foliage","Green foliage ",,,,,,,,,"7/19/21, 11:35 AM","7/19/21, 11:35 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Wildflowers,,Default,simple,,base,Wildflowers,,,,1,0,"Not Visible Individually",25.000000,,,,wildflowers,Wildflowers,Wildflowers,"Wildflowers ",,,,,,,,,"7/19/21, 11:36 AM","7/19/21, 11:36 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Living Floral: Entertaining and Decorating with Flowers",,Default,downloadable,"Default Category/Floristics",base,"Living Floral: Entertaining and Decorating with Flowers","<p>For this inspirational, yet instructive, book Shaw presents portraits of top tastemakers at home who share their joy of flowers. From interior designers Charlotte Moss, Suzanne Rheinstein, and Bunny Williams, and event designer Tara Guerard to floral and garden experts Sybil Sylvester and P. Allen Smith and culinary consultant Alex Hitz, these luminaries impart their personal botanical point of view. They show how to incorporate flowers in home decor and present numerous ways to entertain with flair. Interior designers illustrate how eclectic furnishings work well with floral and botanical accents in fabric, wallpaper, artwork, and accessories to shape chic indoor spaces. We will learn how traditionalists and modernists put together an attractive table; for example, by mixing heirloom silver with simple white china and bright flowers arranged in everyday glass containers. This gorgeously photographed book concludes with a primer on such topics as extending the life of fresh-cut flowers and assembling a table runner of charming blooms. <em>Living Floral</em> is a must-have for flower and interior design enthusiasts, as well as home gardeners.</p>","<p>Brimming with top stylemakers' and designers' innovative floral design ideas to enliven the home, <em>Living Floral </em>will resonate with those who appreciate the beauty and everyday luxury of flowers.</p>",,1,0,"Catalog, Search",250.000000,,,,living-floral-entertaining-and-decorating-with-flowers,"Living Floral: Entertaining and Decorating with Flowers","Living Floral: Entertaining and Decorating with Flowers","Living Floral: Entertaining and Decorating with Flowers For this inspirational, yet instructive, book Shaw presents portraits of top tastemakers at home who share their joy of flowers. From interior designers Charlotte Moss, Suzanne Rheinstein, and Bunny ",/5/1/511pnmempbl._sx392_bo1_204_203_200_.jpg,,/5/1/511pnmempbl._sx392_bo1_204_203_200_.jpg,,/5/1/511pnmempbl._sx392_bo1_204_203_200_.jpg,,/5/1/511pnmempbl._sx392_bo1_204_203_200_.jpg,,"7/19/21, 11:51 AM","7/19/21, 11:51 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"links_purchased_separately=0,links_title=Links,samples_title=Samples",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/5/1/511pnmempbl._sx392_bo1_204_203_200_.jpg,/9/1/91gfjxmzgvl.jpeg,/8/1/81pojjewfdl.jpeg",",,",,,,,,,,,,"link_id=1,id=1,title=Living_Floral.epub,sort_order=1,price=0.000000,link_type=file,link_file=/s/h/shukach-strilec-temna-vezha-i-stiven-kinh.epub",,,
"Floret Farm's Cut Flower Garden",,Default,downloadable,"Default Category/Floristics",base,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms ","<p><strong>A stunning flower book:</strong> This beautiful gardening book and guide to growing, harvesting, and arranging gorgeous blooms year round provides readers with vital tools to nurture a stunning flower garden and use their blossoms and cut flowers to create show stopping arrangements. It makes a beautiful gift for any occasion, for friends, loved ones and gardening lovers alike!<br /><br /><strong>Floret Farm's Cut Flower Garden:</strong><em>Cut Flower Garden</em> is equal parts instruction and inspiration—a flower gardening book overflowing with lush photography of magnificent flowers and breathtaking arrangements organized by season. Find inspiration in this lush flower book:<br />• Irresistible photos of Erin's flower farm that showcase exquisite blooms<br />• Tips for growing in a variety of spaces and climates<br />• Step by step instructions for lavish garlands, airy centerpieces, and romantic florist design and décor for every season<br /><br /><strong>A perfect gift:</strong> Flower lovers, avid and novice gardeners, floral designers, wedding planners, florists, small farmers, stylists, designers, crafters, home decor aficionados, and those passionate about the local floral movement will love this book.<br />• For those who loved <em>Floret Farm's A Year in Flowers</em> by Erin Benzakein, <em>The Flower Recipe Book</em> by Alethea Harampol, <em>Seasonal Flower Arranging</em> by Ariella Chezar, and <em>The Flower Chef</em> by Carly Cylinder.</p>","<p><strong>The Cut Flower Garden</strong>: Erin Benzakein is a florist farmer, leader in the locaflor farm to centerpiece movement, and owner of internationally renowned Floret Flower Farm in Washington's lush Skagit Valley.</p>",,1,0,"Catalog, Search",400.000000,,,,floret-farm-s-cut-flower-garden-grow-harvest-and-arrange-stunning-seasonal-blooms,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms ","Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms ","Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms  ",/c/u/cut.jpeg,,/c/u/cut.jpeg,,/c/u/cut.jpeg,,,,"7/19/21, 11:56 AM","7/19/21, 11:58 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"links_purchased_separately=0,links_title=Links,samples_title=Samples",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/c/u/cut.jpeg,/8/1/81agmhmg3jl.jpeg,/9/1/91b8nqlevql.jpeg",",,",,,,,,,,,,"link_id=2,id=2,title=Floret_Farm&#039;s_Cut_Flower_Garden.epub,sort_order=1,price=0.000000,link_type=file,link_file=/d/i/die_verwandlung.epub.zip","sample_id=1,id=1,title=Floret_Farm&#039;s_Cut_Flower_Garden_sample,sort_order=1,sample_type=file,sample_file=/9/1/91b8nqlevql.jpeg",,
"Gardner service",,Default,virtual,"Default Category/Floristics",base,"Gardner service","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse leo ante, venenatis sed porttitor eget, laoreet non lectus. Mauris ut quam fringilla, condimentum urna eget, laoreet enim. Duis sodales eu magna iaculis pellentesque. Nam suscipit dui consectetur vestibulum gravida. Suspendisse a malesuada ipsum. Aliquam vitae odio blandit, feugiat metus nec, eleifend augue. Curabitur ultrices magna at tincidunt vulputate.</p>
<p>Fusce vitae auctor dui, eu condimentum tellus. Quisque consequat lorem dui, quis accumsan nulla auctor quis. In vestibulum, magna tincidunt sollicitudin suscipit, lorem neque ultricies diam, eu venenatis nisl est vel ante. Aliquam erat volutpat. Sed condimentum odio rutrum porttitor congue. Vivamus sed euismod purus. Curabitur quis dolor aliquet, venenatis dui nec, vulputate odio. Morbi rutrum massa a leo iaculis, ut molestie metus tempus. Donec elit mi, viverra a tellus vel, fringilla egestas felis. Vestibulum feugiat erat sed dapibus gravida. Maecenas placerat ultrices magna et iaculis.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse leo ante, venenatis sed porttitor eget, laoreet non lectus.</p>",,1,0,"Catalog, Search",800.000000,,,,gardner-service,"Gardner service","Gardner service","Gardner service Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse leo ante, venenatis sed porttitor eget, laoreet non lectus. Mauris ut quam fringilla, condimentum urna eget, laoreet enim. Duis sodales eu magna iaculis pellentesque. Nam",/1/4/1492102308-proud-gardener.jpeg,,/1/4/1492102308-proud-gardener.jpeg,,/1/4/1492102308-proud-gardener.jpeg,,/1/4/1492102308-proud-gardener.jpeg,,"7/19/21, 12:01 PM","7/19/21, 12:01 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/1/4/1492102308-proud-gardener.jpeg,,,,,,,,,,,,,,
"Kvitny Subscription",,Default,virtual,"Default Category/Flowers in a box,Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets,Default Category/Floristics",base,"Kvitny Subscription","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse leo ante, venenatis sed porttitor eget, laoreet non lectus. Mauris ut quam fringilla, condimentum urna eget, laoreet enim. Duis sodales eu magna iaculis pellentesque. Nam suscipit dui consectetur vestibulum gravida. Suspendisse a malesuada ipsum. Aliquam vitae odio blandit, feugiat metus nec, eleifend augue. Curabitur ultrices magna at tincidunt vulputate.</p>
<p>Fusce vitae auctor dui, eu condimentum tellus. Quisque consequat lorem dui, quis accumsan nulla auctor quis. In vestibulum, magna tincidunt sollicitudin suscipit, lorem neque ultricies diam, eu venenatis nisl est vel ante. Aliquam erat volutpat. Sed condimentum odio rutrum porttitor congue. Vivamus sed euismod purus. Curabitur quis dolor aliquet, venenatis dui nec, vulputate odio. Morbi rutrum massa a leo iaculis, ut molestie metus tempus. Donec elit mi, viverra a tellus vel, fringilla egestas felis. Vestibulum feugiat erat sed dapibus gravida. Maecenas placerat ultrices magna et iaculis.</p>","<p>Monthly flower suprise-delivery.</p>",,1,0,"Catalog, Search",1200.000000,,,,kvitny-subscription,"Kvitny Subscription","Kvitny Subscription","Kvitny Subscription Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse leo ante, venenatis sed porttitor eget, laoreet non lectus. Mauris ut quam fringilla, condimentum urna eget, laoreet enim. Duis sodales eu magna iaculis pellentesque.",/i/s/istockphoto-538560924-612x612.jpeg,,/i/s/istockphoto-538560924-612x612.jpeg,,/i/s/istockphoto-538560924-612x612.jpeg,,/i/s/istockphoto-538560924-612x612.jpeg,,"7/19/21, 12:05 PM","7/19/21, 12:05 PM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,0,0,1,1.0000,1,0,0,0,,,,,,,/i/s/istockphoto-538560924-612x612.jpeg,,,,,,,,,,,,,,
